,LakeEmily:dd (ft),TomorrowRiver:92743:depl (cfs),TomorrowRiver:73262:depl (cfs),TomorrowRiver:23983:depl (cfs),TomorrowRiver:70548:depl (cfs),TomorrowRiver:70262:depl (cfs),TomorrowRiver:67401:depl (cfs),TomorrowRiver:986:depl (cfs),TomorrowRiver:68690:depl (cfs),TomorrowRiver:23883:depl (cfs),TomorrowRiver:72737:depl (cfs),TomorrowRiver:24155:depl (cfs),TomorrowRiver:24037:depl (cfs),TomorrowRiver:23978:depl (cfs),TomorrowRiver:91803:depl (cfs),TomorrowRiver:91706:depl (cfs),TomorrowRiver:91411:depl (cfs),TomorrowRiver:92199:depl (cfs),TomorrowRiver:92045:depl (cfs),TomorrowRiver:93141:depl (cfs),TomorrowRiver:91562:depl (cfs),TomorrowRiver:73744:depl (cfs),TomorrowRiver:92299:depl (cfs),TomorrowRiver:24285:depl (cfs),TomorrowRiver:68785:depl (cfs),TomorrowRiver:72422:depl (cfs),TomorrowRiver:815:depl (cfs),TomorrowRiver:23867:depl (cfs),TomorrowRiver:91173:depl (cfs),TomorrowRiver:23993:depl (cfs),TomorrowRiver:23699:depl (cfs),TomorrowRiver:23957:depl (cfs),TomorrowRiver:71916:depl (cfs),TomorrowRiver:23682:depl (cfs),TomorrowRiver:91175:depl (cfs),TomorrowRiver:91072:depl (cfs),TomorrowRiver:91181:depl (cfs),TomorrowRiver:67563:depl (cfs),TomorrowRiver:71998:depl (cfs),TomorrowRiver:70248:depl (cfs),TomorrowRiver:92136:depl (cfs),TomorrowRiver:3719:depl (cfs),TomorrowRiver:91670:depl (cfs),TomorrowRiver:91997:depl (cfs),TomorrowRiver:23926:depl (cfs),TomorrowRiver:68905:depl (cfs),TomorrowRiver:23637:depl (cfs),TomorrowRiver:23698:depl (cfs),TomorrowRiver:23869:depl (cfs),TomorrowRiver:70263:depl (cfs),TomorrowRiver:23979:depl (cfs),TomorrowRiver:23616:depl (cfs),TomorrowRiver:23754:depl (cfs),TomorrowRiver:67329:depl (cfs),TomorrowRiver:23870:depl (cfs),TomorrowRiver:23635:depl (cfs),TomorrowRiver:70881:depl (cfs),TomorrowRiver:24050:depl (cfs),TomorrowRiver:23715:depl (cfs),TomorrowRiver:68917:depl (cfs),TomorrowRiver:1860:depl (cfs),TomorrowRiver:24161:depl (cfs),TomorrowRiver:617:depl (cfs),TomorrowRiver:69289:depl (cfs),TomorrowRiver:73002:depl (cfs),TomorrowRiver:24169:depl (cfs),TomorrowRiver:23907:depl (cfs),TomorrowRiver:69635:depl (cfs),TomorrowRiver:24008:depl (cfs),TomorrowRiver:91924:depl (cfs),TomorrowRiver:92981:depl (cfs),TomorrowRiver:69480:depl (cfs),TomorrowRiver:24132:depl (cfs),TomorrowRiver:23700:depl (cfs),TomorrowRiver:23961:depl (cfs),TomorrowRiver:91161:depl (cfs),TomorrowRiver:23697:depl (cfs),TomorrowRiver:68049:depl (cfs),TomorrowRiver:23863:depl (cfs),TomorrowRiver:73344:depl (cfs),TomorrowRiver:69961:depl (cfs),TomorrowRiver:24017:depl (cfs),TomorrowRiver:23827:depl (cfs),TomorrowRiver:71326:depl (cfs),TomorrowRiver:74131:depl (cfs),TomorrowRiver:24022:depl (cfs),TomorrowRiver:24080:depl (cfs),TomorrowRiver:23846:depl (cfs),TomorrowRiver:23852:depl (cfs),TomorrowRiver:73345:depl (cfs),TomorrowRiver:91169:depl (cfs),TomorrowRiver:23620:depl (cfs),TomorrowRiver:71917:depl (cfs),TomorrowRiver:23868:depl (cfs),TomorrowRiver:69508:depl (cfs),TomorrowRiver:92077:depl (cfs),TomorrowRiver:23949:depl (cfs),TomorrowRiver:24302:depl (cfs),TomorrowRiver:23647:depl (cfs),TomorrowRiver:73346:depl (cfs),TomorrowRiver:1013:depl (cfs),TomorrowRiver:4174:depl (cfs),TomorrowRiver:24059:depl (cfs),TomorrowRiver:24066:depl (cfs),TomorrowRiver:23915:depl (cfs),TomorrowRiver:23826:depl (cfs),TomorrowRiver:23873:depl (cfs),TomorrowRiver:72437:depl (cfs),TomorrowRiver:24216:depl (cfs),TomorrowRiver:3473:depl (cfs),TomorrowRiver:24286:depl (cfs),TomorrowRiver:24294:depl (cfs),TomorrowRiver:73625:depl (cfs),TomorrowRiver:1323:depl (cfs),TomorrowRiver:1302:depl (cfs),TomorrowRiver:70961:depl (cfs),TomorrowRiver:24220:depl (cfs),TomorrowRiver:73347:depl (cfs),TomorrowRiver:70943:depl (cfs),TomorrowRiver:23716:depl (cfs),TomorrowRiver:69693:depl (cfs),TomorrowRiver:69679:depl (cfs),TomorrowRiver:73597:depl (cfs),TomorrowRiver:71990:depl (cfs),TomorrowRiver:92808:depl (cfs),TomorrowRiver:24047:depl (cfs),TomorrowRiver:69576:depl (cfs),TomorrowRiver:23709:depl (cfs),TomorrowRiver:73093:depl (cfs),TomorrowRiver:91808:depl (cfs),TomorrowRiver:92036:depl (cfs),TomorrowRiver:23825:depl (cfs),TomorrowRiver:71960:depl (cfs),TomorrowRiver:84462:depl (cfs),TomorrowRiver:73153:depl (cfs),TomorrowRiver:74477:depl (cfs),TomorrowRiver:24021:depl (cfs),TomorrowRiver:490:depl (cfs),TomorrowRiver:84461:depl (cfs),TomorrowRiver:23614:depl (cfs),TomorrowRiver:74280:depl (cfs),TomorrowRiver:70519:depl (cfs),TomorrowRiver:23924:depl (cfs),TomorrowRiver:24013:depl (cfs),TomorrowRiver:70031:depl (cfs),TomorrowRiver:23944:depl (cfs),TomorrowRiver:92885:depl (cfs),TomorrowRiver:24087:depl (cfs),TomorrowRiver:74478:depl (cfs),TomorrowRiver:70032:depl (cfs),TomorrowRiver:91996:depl (cfs),TomorrowRiver:71199:depl (cfs),TomorrowRiver:69636:depl (cfs),TomorrowRiver:68294:depl (cfs),TomorrowRiver:73372:depl (cfs),TomorrowRiver:873:depl (cfs),TomorrowRiver:72304:depl (cfs),TomorrowRiver:73906:depl (cfs),TomorrowRiver:72713:depl (cfs),TomorrowRiver:58403:depl (cfs),TomorrowRiver:70520:depl (cfs),TomorrowRiver:92696:depl (cfs),TomorrowRiver:70974:depl (cfs),TomorrowRiver:58414:depl (cfs),TomorrowRiver:74193:depl (cfs),TomorrowRiver:72983:depl (cfs),TomorrowRiver:23913:depl (cfs),TomorrowRiver:68238:depl (cfs),TomorrowRiver:90475:depl (cfs),TomorrowRiver:24195:depl (cfs),TomorrowRiver:72183:depl (cfs),TomorrowRiver:69288:depl (cfs),TomorrowRiver:69669:depl (cfs),TomorrowRiver:72436:depl (cfs),TomorrowRiver:74428:depl (cfs),TomorrowRiver:74429:depl (cfs),TomorrowRiver:90149:depl (cfs),TomorrowRiver:70191:depl (cfs),TomorrowRiver:23648:depl (cfs),TomorrowRiver:72301:depl (cfs),TomorrowRiver:24305:depl (cfs),TomorrowRiver:72421:depl (cfs),TomorrowRiver:68689:depl (cfs),TomorrowRiver:69064:depl (cfs),TomorrowRiver:70975:depl (cfs),TomorrowRiver:73624:depl (cfs),TomorrowRiver:73092:depl (cfs),TomorrowRiver:68220:depl (cfs),TomorrowRiver:68221:depl (cfs),TomorrowRiver:68247:depl (cfs),TomorrowRiver:74427:depl (cfs),TomorrowRiver:69595:depl (cfs),TomorrowRiver:91895:depl (cfs),TomorrowRiver:58416:depl (cfs),TomorrowRiver:67922:depl (cfs),TomorrowRiver:74481:depl (cfs),TomorrowRiver:4661:depl (cfs),TomorrowRiver:92724:depl (cfs),TomorrowRiver:602:depl (cfs),TomorrowRiver:603:depl (cfs),TomorrowRiver:68218:depl (cfs),TomorrowRiver:68216:depl (cfs),TomorrowRiver:68219:depl (cfs),TomorrowRiver:90159:depl (cfs),TomorrowRiver:93832:depl (cfs)
873: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007960210862928458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72304: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004114711173544231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73906: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002798993665764981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72713: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00018067238532084223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58403: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000302506543356917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70520: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005978156264489609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92696: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006674574080669888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70974: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0033585618664577375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58414: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00020084904043937826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74193: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000996068595708684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72983: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.604553872802333e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23913: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006048217155574815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68238: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004962771130973664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90475: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015272029955837405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24195: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5983545187559876e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72183: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00025291049256575843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69288: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001497611173449881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69669: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006616906522213931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72436: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010025408744385884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74428: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003278458217051077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74429: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003404215590605647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90149: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009652247857664673,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70191: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00015694090984042238,,,,,,,,,,,,,,,,,,,,,,,,,,,
23648: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.44197607674693e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
72301: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.090980385652108e-05,,,,,,,,,,,,,,,,,,,,,,,,,
24305: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.749956479968873e-05,,,,,,,,,,,,,,,,,,,,,,,,
72421: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00039511105964901215,,,,,,,,,,,,,,,,,,,,,,,
68689: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00021305509973929904,,,,,,,,,,,,,,,,,,,,,,
69064: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.52157662806702e-05,,,,,,,,,,,,,,,,,,,,,
70975: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006717123732915469,,,,,,,,,,,,,,,,,,,,
73624: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008561178047952049,,,,,,,,,,,,,,,,,,,
73092: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00021803175622373602,,,,,,,,,,,,,,,,,,
68220: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00018798927687171648,,,,,,,,,,,,,,,,,
68221: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00022928855117981253,,,,,,,,,,,,,,,,
68247: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002406270915993572,,,,,,,,,,,,,,,
74427: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00015790051266684953,,,,,,,,,,,,,,
69595: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
91895: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
58416: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
67922: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
74481: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
4661: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
92724: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
602: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
603: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
68218: existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
